Región,Comuna,Latitude,Longitude,Razón social,Nombre de Establecimiento,Rubro,ID Establecimiento,Generación Residuos Peligrosos ton/año (2016),Emisión al aire año ton/año (2016),Emisión CO2 ton/año (2016),Emisión NOX ton/año (2016),Emisión SO2 ton/año (2016),"Emisión MP2,5 ton/año (2016)",Emisión MP 10 ton/año (2016),Generación de residuos no peligrosos ton/año 2016,Destinatario de residuos no peligrosos ton/año (2016)
Araucanía,Temuco,-38.72918168,-72.63261527,CONDOMINIO EDIFICIO ALCALA,CONDOMINIO EDIFICIO ALCALÁ,Otras actividades,5400926,-,8.176896,8.176896,0,0,0,0,-,-
Araucanía,Temuco,-38.72915589,-72.58643352,CORP ADMINISTRATIVA DEL PODER JUDICIAL,TRIBUNAL DE JUICIO ORAL EN LO PENAL DE TEMUCO Y JUZGADO DE GARANTÍA DE TEMUCO,Otras actividades,4585414,-,3.2707584,3.2707584,0,0,0,0,-,-
Araucanía,Temuco,-38.72900552,-72.59925232,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,LIDER TEMUCO,Comercio,5441072,-,3039.57995,3039.57995,0,0,0,0,815.667,-
Araucanía,Temuco,-38.7289996,-72.61259541,COMUNIDAD EDIFICIOS MISTRAL,EDIFICIOS MISTRAL,Otras actividades,2222593,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72847586,-72.61033537,DISTRIBUIDORA DE NEUMATICOS DEL SUR LIMITADA,DACSA PEDRO DE VALDIVIA,Otras actividades,5468717,-,-,-,-,-,-,-,-,-
Araucanía,Vilcún,-38.72832066,-72.35633872,VALLES DEL SUR SPA,VALLES DEL SUR SPA SUCURSAL VILCUN,Industria agropecuaria y silvicultura,5461840,0.8,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7282372,-72.57904545,AUTOMOTRIZ CORDILLERA S.A.,TEMUCO CAUPOLICAN,Comercio,5460551,3.88,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72823025,-72.58960482,AGUAS ARAUCANIA S.A.,LABORATORIO - TEMUCO,Gestor de residuos,5401792,-,1.480018176,1.480018176,0,0,0,0,-,-
Araucanía,Temuco,-38.72814993,-72.61113989,AGUAS ARAUCANIA S.A.,PLANTA RELEVADORA DE AGUA POTABLE P. VALDIVIA - TEMUCO,Gestor de residuos,5401867,-,21.7028448,21.7028448,0,0,0,0,-,-
Araucanía,Temuco,-38.72798346,-72.60345039,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS - SAN ANDRES - TEMUCO,Gestor de residuos,5401850,-,0,0,0,0,0,0,-,-
Araucanía,Temuco,-38.72790801,-72.57837793,COOP DE SERVICIOS DE DUENOS DE AUTOTOBUSES DE CAUTIN LIMITADA,COOP DE SERVICIOS DE DUENOS DE AUTOTOBUSES DE CAUTIN LIMITADA,Otras actividades,244748,57.865,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7279012,-72.57891877,SOCIEDAD COMERCIALIZADORA DE REPUESTOS S.A,SOC. COMERCIALIZADORA DE REPUESTOS. S.A.,0,5474876,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72780251,-72.56419925,ICAFAL INGENIERIA Y CONSTRUCCION S A,HIDROELÉCTRICA CARILAFQUÉN-MALALCAHUELLO,Construcción e inmobiliarias,5460666,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72721134,-72.57780335,AUTOMOTRIZ CUMBRE SPA,SERVICIO CAUPOLICAN,0,5475183,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72708822,-72.57317216,SERVICIOS HOSPITALARIOS S A,SERVICIOS HOSPITALARIOS S.A.,Otras actividades,90765,-,3257.641296,3257.641296,0,0,0,0,-,-
Araucanía,Temuco,-38.72708241,-72.56726027,CONSTRUCTORA CARLOS RENE GARCIA GROSS LIMITADA,INSTALACIÓN DE FAENA MANTENIMIENTO MAYOR Y RUTINARIO DE ESTRUCTURAS,0,5471769,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7270553,-72.61224607,SOC COMERCIAL E INVERSIONES MATUS Y GAJARDO LIMITADA,CLINICA AUTOMOTRIZ,Comercio,5459749,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72693368,-72.63417328,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS -BOTROLHUE- TEMUCO,Gestor de residuos,5401775,-,0,0,0,0,0,0,-,-
Araucanía,Temuco,-38.72662536,-72.610167,I MUNICIPALIDAD DE TEMUCO,CESFAM VILLA ALEGRE,Otras actividades,5469321,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7263265,-72.61450174,"INVERS Y SERV FOREST AGRIC GANADEROS Y AFINES GONZALEZ
            Y JIMENEZ LTDA",TRALKAN LTDA,Industria agropecuaria y silvicultura,5470300,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72625087,-72.59849341,INTERGAS S A,PLANTA GNS INTERGAS S.A.,Combustibles,5403587,-,6.19740576,6.19740576,0,0,0,0,780,-
Araucanía,Vilcún,-38.72612261,-72.05038386,CIA SALMONIFERA DALCAHUE LIMITADA,PISCICULTURA ESTERO LLEUQUE,Pesca,4588162,0.392,-,-,-,-,-,-,136,-
Araucanía,Vilcún,-38.72596903,-72.05036717,CIA SALMONIFERA DALCAHUE LIMITADA,PISCICULTURA LLEUQUE,0,5452318,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72577748,-72.61894827,TELEFONICA MOVILES CHILE S A,TROMEN,Otras actividades,5464090,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72552291,-72.57589357,SOC SERVICIOS MECANICOS INTEGRALES NIELOL LIMITADA,SOCIEDAD SERVICIOS MECANICOS INTEGRALES ÑIELOL LIMITADA,Otras actividades,3046479,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72539111,-72.63096913,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,INACAP SEDE TEMUCO,Otras actividades,21484,-,0.4088448,0.4088448,0,0,0,0,-,-
Araucanía,Temuco,-38.72518037,-72.63124063,FUND EDUCACIONAL COLEGIO SANTA CRUZ DE TEMUCO,FUNDACION EDUCACIONAL COLEGIO STA. CRUZ TEMUCO,Otras actividades,19534,-,442.9152,442.9152,0,0,0,0,-,-
Araucanía,Temuco,-38.7249838,-72.60304457,SOC DE RESONANCIA NUCLEAR MAGNETICA DEL SUR S A,SOREMA DEL SUR SA,Otras actividades,5470647,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72498073,-72.60289514,ASOC CHILENA DE SEGURIDAD,AGENCIA TEMUCO,Otras actividades,5453746,-,4.088448,4.088448,0,0,0,0,-,-
Araucanía,Temuco,-38.72491518,-72.57135942,CONSTRUCTORA WORNER S.A.,MEJORAMIENTO INTEGRAL CASA DE MAQUINAS MUSEO NACIONAL FERROVIARIO,0,5474490,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72481972,-72.57153518,BUSES BIO BIO LIMITADA,BUSES BIOBIO,Transporte,5453902,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72480824,-72.57228318,BUSES BIO BIO LIMITADA,BUSES BIOBIO,Transporte,244689,11.7,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7245181,-72.63457503,KOMATSU CUMMINS CHILE ARRIENDA S A,KCCA TEMUCO,Comercio,5463196,-,1.03428,1.03428,0,0,0,0,-,-
Araucanía,Temuco,-38.72435523,-72.575634,INGENERIA Y CONSTRUCCIONES V & B LTDA,INGENIERIA Y CONSTRUCCIONES V B LTDA,Otras actividades,5468799,0.3,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72435463,-72.63451142,CONSTRUCTORA POCURO SPA,ALTA VISTA,Construcción e inmobiliarias,5460154,-,-,-,-,-,-,-,1468,-
Araucanía,Temuco,-38.72406182,-72.56801834,EXPORTADORA Y RECICLADORA DE METALES RECIMEPLAS LIMITADA,RECIMEPLAS LIMITADA,Gestor de residuos,5469802,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72338313,-72.57004263,METALDA S.P.A,TALLER Y MAESTRANZA METALDA,Otras actividades,5469658,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72326588,-72.56657315,CONSTRUCTORA RADALCO LIMITADA,CONSTRUCTORA RADALCO LIMITADA,Construcción e inmobiliarias,979791,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72305463,-72.6184176,RENT A CAR GABRIEL HERNAN PARDO ARAVENA EIRL,RENT A CAR PARDO EIRL,Otras actividades,5465740,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72305416,-72.61839461,ALUMINIOS 2000 LIMITADA,ALUMINIOS 2000 LTDA,Producción de metal,5469951,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72284217,-72.56742713,TELEFONICA CHILE S.A.,TEMUCO 5,Otras actividades,5464140,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72253049,-72.57063509,SOCIEDAD COMERCIALIZADORA DE COMBUSTIBLES ARAUCANIA LIMITADA,PETROBRAS R ORTEGA,Combustibles,5464816,-,-,-,-,-,-,-,-,-
Araucanía,Padre Las Casas,-38.72250137,-72.54038753,TRANSELEC S A,S/E CAUTÍN,Transmision y distribucion de energía eléctrica,4587184,-,2.9300544,2.9300544,0,0,0,0,-,-
Araucanía,Temuco,-38.72249169,-72.56012415,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUA POTABLE 9030 TEMUCO,Gestor de residuos,5462597,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72142599,-72.56864829,COMPANIA JAC TRANSPORTES LIMITADA,BUSES JAC,Transporte,4501690,12.7,-,-,-,-,-,-,-,-
